Loc Abbr,Loc Desc,Heart Disease Mortality per 100k,Gender,Race/Ethnicity
AK,Wade Hampton,299,Female,American Indian and Alaskan Native
AK,Wrangell-Petersburg,,Female,American Indian and Alaskan Native
AK,Yakutat,,Female,American Indian and Alaskan Native
AK,Yukon-Koyukuk,267.2,Female,American Indian and Alaskan Native
AK,Alaska,280.7,Overall,Overall
AK,Alaska,362.2,Male,Overall
AK,Alaska,207.1,Female,Overall
AK,Alaska,272.4,Overall,White
AK,Alaska,342.8,Male,White
AK,Alaska,204.2,Female,White
AK,Alaska,248.9,Overall,Black
AK,Alaska,325.5,Male,Black
AK,Alaska,176.3,Female,Black
AK,Alaska,120.2,Overall,Hispanic
AK,Alaska,170.4,Male,Hispanic
AK,Alaska,,Female,Hispanic
AK,Alaska,172.6,Overall,Asian and Pacific Islander
AK,Alaska,219.7,Male,Asian and Pacific Islander
AK,Alaska,144.5,Female,Asian and Pacific Islander
AK,Alaska,422.1,Overall,American Indian and Alaskan Native
AK,Alaska,595.7,Male,American Indian and Alaskan Native
AK,Alaska,286.1,Female,American Indian and Alaskan Native
AL,Autauga County,425,Overall,Overall
AL,Baldwin County,383.5,Overall,Overall
AL,Barbour County,493.8,Overall,Overall
AL,Blount County,416.5,Overall,Overall
AL,Bullock County,433.1,Overall,Overall
AL,Butler County,467,Overall,Overall
AL,Calhoun County,586.1,Overall,Overall
AL,Chambers County,389.4,Overall,Overall
AL,Cherokee County,490.8,Overall,Overall
AL,Chilton County,537.9,Overall,Overall
AL,Choctaw County,538.8,Overall,Overall
AL,Clarke County,453.5,Overall,Overall
AL,Clay County,549.7,Overall,Overall
AL,Cleburne County,546.9,Overall,Overall
AL,Coffee County,413.1,Overall,Overall
AL,Colbert County,542.3,Overall,Overall
AL,Conecuh County,478.5,Overall,Overall
AL,Coosa County,453.4,Overall,Overall
AL,Covington County,495.6,Overall,Overall
AL,Crenshaw County,474.9,Overall,Overall
AL,Cullman County,435.4,Overall,Overall
AL,Dale County,433.8,Overall,Overall
AL,Dallas County,584,Overall,Overall
AL,DeKalb County,545.1,Overall,Overall
AL,Elmore County,456.5,Overall,Overall
AL,Escambia County,469.1,Overall,Overall
AL,Etowah County,551,Overall,Overall
AL,Fayette County,463.4,Overall,Overall
AL,Franklin County,528,Overall,Overall
AL,Geneva County,445.3,Overall,Overall
AL,Greene County,488.2,Overall,Overall
AL,Hale County,479.2,Overall,Overall
AL,Henry County,409.9,Overall,Overall
AL,Houston County,372.4,Overall,Overall
AL,Jackson County,515.4,Overall,Overall
AL,Jefferson County,382,Overall,Overall
AL,Lamar County,478.4,Overall,Overall
AL,Lauderdale County,391.3,Overall,Overall
AL,Lawrence County,506.9,Overall,Overall
AL,Lee County,370.6,Overall,Overall
AL,Limestone County,449.9,Overall,Overall
AL,Lowndes County,442.5,Overall,Overall
AL,Macon County,555.7,Overall,Overall
AL,Madison County,387.1,Overall,Overall
AL,Marengo County,550.4,Overall,Overall
AL,Marion County,570.4,Overall,Overall
AL,Marshall County,507.7,Overall,Overall
AL,Mobile County,446.2,Overall,Overall
AL,Monroe County,393.7,Overall,Overall
AL,Montgomery County,361.2,Overall,Overall
AL,Morgan County,467.5,Overall,Overall
AL,Perry County,543.2,Overall,Overall
AL,Pickens County,463.2,Overall,Overall
AL,Pike County,423.1,Overall,Overall
AL,Randolph County,561.9,Overall,Overall
AL,Russell County,353.5,Overall,Overall
AL,St. Clair County,441.3,Overall,Overall
AL,Shelby County,307.3,Overall,Overall
AL,Sumter County,485.5,Overall,Overall
AL,Talladega County,464,Overall,Overall
AL,Tallapoosa County,436.8,Overall,Overall
AL,Tuscaloosa County,415.2,Overall,Overall
AL,Walker County,668.2,Overall,Overall
AL,Washington County,514.9,Overall,Overall
AL,Wilcox County,758,Overall,Overall
AL,Winston County,442.8,Overall,Overall
AL,Autauga County,533.8,Male,Overall
AL,Baldwin County,482.4,Male,Overall
AL,Barbour County,630.4,Male,Overall
AL,Bibb County,555.4,Male,Overall
AL,Blount County,506.2,Male,Overall
AL,Bullock County,504,Male,Overall
AL,Butler County,570.6,Male,Overall
AL,Calhoun County,726.4,Male,Overall
AL,Chambers County,500.3,Male,Overall
AL,Cherokee County,598,Male,Overall
AL,Chilton County,632,Male,Overall
AL,Choctaw County,661.8,Male,Overall
AL,Clarke County,595.1,Male,Overall
AL,Clay County,615.6,Male,Overall
AL,Cleburne County,659.5,Male,Overall
AL,Coffee County,521.2,Male,Overall
AL,Colbert County,672.7,Male,Overall
AL,Conecuh County,581.4,Male,Overall
AL,Coosa County,567.5,Male,Overall
AL,Covington County,646.4,Male,Overall
AL,Crenshaw County,654,Male,Overall
AL,Cullman County,470.3,Male,Overall
AL,Dale County,556,Male,Overall
